tld,dot_num,avg_host,max_host,avg_path,max_path
com.ua,0,6.0,6,3.6666666666666665,6
com.ua,0,6.0,6,2.6666666666666665,3
net,0,10.0,10,2.75,5
net,0,10.0,10,4.0,5
at,0,2.3333333333333335,3,3.6666666666666665,6
com,0,9.0,9,5.5,10
com,0,9.0,9,5.5,10
at,0,2.3333333333333335,3,3.3333333333333335,6
dk,0,5.5,7,5.0,7
com,0,9.0,9,6.5,10
at,0,2.3333333333333335,3,5.6,11
com,0,9.0,9,5.5,10
at,0,2.3333333333333335,3,3.3333333333333335,6
com,0,9.0,9,7.75,11
at,0,2.3333333333333335,3,4.0,6
com,0,8.5,9,0.0,0
com,0,8.5,9,4.75,8
at,0,2.3333333333333335,3,3.6666666666666665,6
at,0,2.3333333333333335,3,5.8,11
com,0,9.0,9,5.4,10
com,0,9.0,9,7.75,11
com,1,8.0,9,5.666666666666667,8
com,0,10.0,10,5.142857142857143,10
cn,0,8.0,8,4.4,7
me,1,5.5,8,2.5,5
com,0,19.0,19,5.5,11
com,0,6.0,6,14.5,63
me,1,8.0,13,4.0,5
me,1,8.0,13,6.0,8
com,4,6.833333333333333,11,0.0,0
com,5,6.714285714285714,11,0.0,0
com,0,5.0,5,5.5,8
com,0,8.0,8,32.0,32
ru,0,6.0,6,19.0,19
ru,0,6.0,6,25.0,25
ru,0,6.0,6,17.0,17
ru,0,6.0,6,25.0,25
com,0,8.0,8,0.0,0
net,0,5.0,5,0.0,0
com,0,8.0,8,25.0,25
com,0,8.0,8,25.0,25
com,0,8.0,8,41.0,41
com,0,8.0,8,41.0,41
info,1,9.0,15,5.333333333333333,10
info,1,11.0,19,3.0,6
info,1,7.5,12,3.0,6
info,1,11.0,19,3.0,6
info,1,8.5,14,5.5,11
info,1,11.0,19,3.0,6
com,0,9.0,9,5.5,10
com,0,9.0,9,5.75,10
com,0,9.0,9,5.5,10
